threshold,sensitivity,specificity,youden_j,tn,fp,fn,tp
0.42999999999999994,0.7777777777777778,0.6626262626262627,0.4404040404040406,656,334,32,112
0.43999999999999995,0.7708333333333334,0.6737373737373737,0.444570707070707,667,323,33,111
0.4499999999999999,0.7569444444444444,0.6898989898989899,0.44684343434343443,683,307,35,109
0.4599999999999999,0.75,0.703030303030303,0.4530303030303031,696,294,36,108
0.4699999999999999,0.7430555555555556,0.7232323232323232,0.4662878787878788,716,274,37,107
0.4799999999999999,0.7430555555555556,0.7383838383838384,0.48143939393939394,731,259,37,107
0.48999999999999994,0.7152777777777778,0.7484848484848485,0.4637626262626262,741,249,41,103
0.49999999999999994,0.7013888888888888,0.7646464646464647,0.46603535353535364,757,233,43,101
0.5099999999999999,0.6875,0.7757575757575758,0.46325757575757587,768,222,45,99
0.5199999999999999,0.6666666666666666,0.7868686868686868,0.45353535353535346,779,211,48,96
0.5299999999999999,0.6527777777777778,0.802020202020202,0.45479797979797976,794,196,50,94
0.5399999999999999,0.6458333333333334,0.8111111111111111,0.4569444444444444,803,187,51,93
0.5499999999999999,0.6388888888888888,0.8181818181818182,0.4570707070707072,810,180,52,92
0.5599999999999999,0.6319444444444444,0.8262626262626263,0.4582070707070707,818,172,53,91
0.57,0.625,0.8333333333333334,0.4583333333333335,825,165,54,90
0.58,0.6180555555555556,0.8383838383838383,0.45643939393939403,830,160,55,89
0.59,0.6111111111111112,0.8484848484848485,0.4595959595959598,840,150,56,88
0.6,0.5972222222222222,0.8595959595959596,0.4568181818181818,851,139,58,86
0.61,0.5833333333333334,0.8707070707070707,0.454040404040404,862,128,60,84
0.62,0.5625,0.8787878787878788,0.4412878787878789,870,120,63,81
0.63,0.5625,0.8848484848484849,0.4473484848484848,876,114,63,81
0.6399999999999999,0.5555555555555556,0.8929292929292929,0.4484848484848485,884,106,64,80
0.6499999999999999,0.5486111111111112,0.897979797979798,0.44659090909090926,889,101,65,79
0.6599999999999999,0.5277777777777778,0.9030303030303031,0.430808080808081,894,96,68,76
0.6699999999999999,0.5208333333333334,0.907070707070707,0.4279040404040404,898,92,69,75
0.6799999999999999,0.5138888888888888,0.908080808080808,0.4219696969696969,899,91,70,74
0.69,0.4930555555555556,0.9131313131313131,0.4061868686868686,904,86,73,71
0.7,0.4791666666666667,0.9151515151515152,0.3943181818181818,906,84,75,69
0.71,0.4791666666666667,0.9222222222222223,0.401388888888889,913,77,75,69
0.72,0.4652777777777778,0.9323232323232323,0.3976010101010101,923,67,77,67
0.73,0.4652777777777778,0.9353535353535354,0.40063131313131306,926,64,77,67
0.74,0.4444444444444444,0.9353535353535354,0.3797979797979798,926,64,80,64
0.7499999999999999,0.4305555555555556,0.9414141414141414,0.37196969696969706,932,58,82,62
0.7599999999999999,0.4027777777777778,0.9454545454545454,0.3482323232323232,936,54,86,58
0.7699999999999999,0.3888888888888889,0.9474747474747475,0.3363636363636364,938,52,88,56
0.7799999999999999,0.3680555555555556,0.9515151515151515,0.319570707070707,942,48,91,53
0.7899999999999999,0.3541666666666667,0.9535353535353536,0.3077020202020202,944,46,93,51
0.7999999999999999,0.3263888888888889,0.9545454545454546,0.2809343434343434,945,45,97,47
0.8099999999999999,0.3055555555555556,0.9585858585858585,0.264141414141414,949,41,100,44
0.82,0.2847222222222222,0.9606060606060606,0.24532828282828278,951,39,103,41
0.83,0.2708333333333333,0.9646464646464646,0.235479797979798,955,35,105,39
0.84,0.2569444444444444,0.9656565656565657,0.22260101010101008,956,34,107,37
0.8499999999999999,0.24305555555555555,0.9656565656565657,0.20871212121212124,956,34,109,35
0.8599999999999999,0.20833333333333334,0.9686868686868687,0.17702020202020208,959,31,114,30
0.8699999999999999,0.19444444444444445,0.9707070707070707,0.16515151515151527,961,29,116,28
0.8799999999999999,0.1736111111111111,0.9747474747474747,0.14835858585858586,965,25,119,25
0.8899999999999999,0.16666666666666666,0.9787878787878788,0.1454545454545455,969,21,120,24
0.8999999999999999,0.1388888888888889,0.9828282828282828,0.12171717171717167,973,17,124,20
0.9099999999999999,0.1388888888888889,0.9858585858585859,0.12474747474747483,976,14,124,20
0.9199999999999999,0.125,0.9878787878787879,0.1128787878787878,978,12,126,18
0.9299999999999999,0.10416666666666667,0.990909090909091,0.0950757575757577,981,9,129,15
0.94,0.08333333333333333,0.990909090909091,0.07424242424242422,981,9,132,12
0.95,0.05555555555555555,0.9939393939393939,0.04949494949494948,984,6,136,8
