mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__subsample,param_clf__reg_lambda,param_clf__n_estimators,param_clf__min_child_weight,param_clf__max_depth,param_clf__learning_rate,param_clf__gamma,param_clf__colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
2.7436317443847655,0.08401914093636884,0.04572715759277344,0.00018633534458050702,0.8,1.0,1600,5,9,0.07,1.0,0.7,"{'clf__subsample': np.float64(0.8), 'clf__reg_lambda': np.float64(1.0), 'clf__n_estimators': np.int64(1600), 'clf__min_child_weight': np.int64(5), 'clf__max_depth': np.int64(9), 'clf__learning_rate': np.float64(0.07), 'clf__gamma': np.float64(1.0), 'clf__colsample_bytree': np.float64(0.7)}",0.3984250380880993,0.4006307754957828,0.41989668246774103,0.40742530689223927,0.41839034609236797,0.4089536298072461,0.00884600400392306,13,0.7684373276261088,0.7762766657081032,0.774971547687068,0.7719269846089842,0.7717557878220627,0.7726736626904653,0.0027425704516611713
2.204431915283203,0.0733238638091616,0.04134354591369629,0.00028351057299872654,0.9,0.0,1400,2,5,0.03,0.5,0.8,"{'clf__subsample': np.float64(0.9), 'clf__reg_lambda': np.float64(0.0), 'clf__n_estimators': np.int64(1400), 'clf__min_child_weight': np.int64(2), 'clf__max_depth': np.int64(5), 'clf__learning_rate': np.float64(0.03), 'clf__gamma': np.float64(0.5), 'clf__colsample_bytree': np.float64(0.8)}",0.3635954999542145,0.3736513168295297,0.38687450353724356,0.38216368306368886,0.3934939156351167,0.37995578380395867,0.01042525497858488,38,0.6199401992612918,0.6181765412429984,0.6133790560696626,0.6190374752167132,0.6173379785319298,0.6175742500645192,0.0022696684781257845
2.248706817626953,0.09870508423394121,0.04243474006652832,0.0034297400894966142,0.7,0.0,1000,5,7,0.01,0.0,0.7,"{'clf__subsample': np.float64(0.7), 'clf__reg_lambda': np.float64(0.0), 'clf__n_estimators': np.int64(1000), 'clf__min_child_weight': np.int64(5), 'clf__max_depth': np.int64(7), 'clf__learning_rate': np.float64(0.01), 'clf__gamma': np.float64(0.0), 'clf__colsample_bytree': np.float64(0.7)}",0.3478503136137774,0.3487957770936576,0.36033717555052774,0.35758257093029144,0.36944163337662617,0.3568014941129761,0.007963659738455729,55,0.5071652759533938,0.5138200627824396,0.5082585985104139,0.5110216528418933,0.504044890427001,0.5088620961030283,0.003337484004221663
1.893291425704956,0.0812364727532612,0.038161277770996094,0.0004717044194781001,0.9,2.0,1200,10,5,0.05,0.5,0.8,"{'clf__subsample': np.float64(0.9), 'clf__reg_lambda': np.float64(2.0), 'clf__n_estimators': np.int64(1200), 'clf__min_child_weight': np.int64(10), 'clf__max_depth': np.int64(5), 'clf__learning_rate': np.float64(0.05), 'clf__gamma': np.float64(0.5), 'clf__colsample_bytree': np.float64(0.8)}",0.352089222325309,0.36216385777833143,0.3749454596915506,0.3734594638643412,0.38608806859373873,0.3697492144506541,0.011637336703369033,47,0.5919165341860779,0.5906337354890195,0.5853679241271253,0.5919906642657347,0.5867665287707782,0.589335077367747,0.0027473012475221366
2.688417100906372,0.019745649737698243,0.046549654006958006,0.0003985306895378199,0.9,0.5,1600,10,8,0.03,1.0,0.7,"{'clf__subsample': np.float64(0.9), 'clf__reg_lambda': np.float64(0.5), 'clf__n_estimators': np.int64(1600), 'clf__min_child_weight': np.int64(10), 'clf__max_depth': np.int64(8), 'clf__learning_rate': np.float64(0.03), 'clf__gamma': np.float64(1.0), 'clf__colsample_bytree': np.float64(0.7)}",0.36744877357497124,0.3755697734790924,0.39047868697247917,0.39178259697367984,0.4003280275751037,0.3851215717150653,0.011898477926538854,34,0.6445424725895095,0.6461917456508184,0.6409463664509513,0.6475676458670521,0.6421338406664151,0.6442764142449493,0.0024597287198832216
2.2440672397613524,0.1049419594161627,0.039733171463012695,0.0003670505866811741,0.6,2.0,1000,10,7,0.02,0.0,0.7,"{'clf__subsample': np.float64(0.6), 'clf__reg_lambda': np.float64(2.0), 'clf__n_estimators': np.int64(1000), 'clf__min_child_weight': np.int64(10), 'clf__max_depth': np.int64(7), 'clf__learning_rate': np.float64(0.02), 'clf__gamma': np.float64(0.0), 'clf__colsample_bytree': np.float64(0.7)}",0.34499236867506383,0.34843610575579903,0.35960186652996595,0.3616905444445511,0.3783435090576386,0.3586128788926037,0.011737400892616566,53,0.533024548992994,0.530115831149035,0.525802487375917,0.5261191701693623,0.5239069856978328,0.5277938046770283,0.003305437948009714
3.350388288497925,0.1226023651201603,0.05078258514404297,0.002368700304371939,0.5,0.5,1200,2,9,0.01,2.0,0.7,"{'clf__subsample': np.float64(0.5), 'clf__reg_lambda': np.float64(0.5), 'clf__n_estimators': np.int64(1200), 'clf__min_child_weight': np.int64(2), 'clf__max_depth': np.int64(9), 'clf__learning_rate': np.float64(0.01), 'clf__gamma': np.float64(2.0), 'clf__colsample_bytree': np.float64(0.7)}",0.36849927217893347,0.3757991537870562,0.3913216539515789,0.3892452057964747,0.4005845507213652,0.38508996728708167,0.011469545947596851,35,0.6214842163659255,0.621794176870856,0.618882138453027,0.6244118399053191,0.6228455415510498,0.6218835826292355,0.001816238077242379
5.449848556518555,0.20910930139051473,0.07385711669921875,0.010251617161053187,0.5,0.5,2000,1,8,0.02,0.0,0.6,"{'clf__subsample': np.float64(0.5), 'clf__reg_lambda': np.float64(0.5), 'clf__n_estimators': np.int64(2000), 'clf__min_child_weight': np.int64(1), 'clf__max_depth': np.int64(8), 'clf__learning_rate': np.float64(0.02), 'clf__gamma': np.float64(0.0), 'clf__colsample_bytree': np.float64(0.6)}",0.401070623723198,0.41119333541590036,0.4293329323671694,0.4210090064165716,0.42702383014343936,0.41792594561325574,0.010505484565049357,7,0.7834622353521793,0.7915418829214053,0.785012989234593,0.7842866710224095,0.7826385063898545,0.7853884569840883,0.003177801666192198
3.919819974899292,0.3642537014713187,0.053673076629638675,0.0005721404198586506,0.6,5.0,2200,5,5,0.07,0.5,0.7,"{'clf__subsample': np.float64(0.6), 'clf__reg_lambda': np.float64(5.0), 'clf__n_estimators': np.int64(2200), 'clf__min_child_weight': np.int64(5), 'clf__max_depth': np.int64(5), 'clf__learning_rate': np.float64(0.07), 'clf__gamma': np.float64(0.5), 'clf__colsample_bytree': np.float64(0.7)}",0.37063514401376213,0.380357236172943,0.393318234717282,0.3967453103033244,0.3985929967954296,0.38792978440054826,0.010741518189757323,27,0.7149797755705557,0.7216012949626238,0.7186667761139226,0.7172474511463538,0.7190314582408392,0.7183053512068591,0.0021771408075821667
5.118841123580933,0.3311972367493347,0.07007508277893067,0.0021810038010149527,0.6,0.0,2200,5,8,0.07,0.0,0.7,"{'clf__subsample': np.float64(0.6), 'clf__reg_lambda': np.float64(0.0), 'clf__n_estimators': np.int64(2200), 'clf__min_child_weight': np.int64(5), 'clf__max_depth': np.int64(8), 'clf__learning_rate': np.float64(0.07), 'clf__gamma': np.float64(0.0), 'clf__colsample_bytree': np.float64(0.7)}",0.3969751260510714,0.4024509448386421,0.4230734439676914,0.4042366511746604,0.4141174154665174,0.40817071629971646,0.009284270762067615,14,0.8363761520179941,0.84310049802596,0.8369182279636429,0.8398215699590384,0.8390426276066374,0.8390518151146544,0.0023956547073752245
